# generated by scripts/base-taxonomy.py from poe1/data/base_items.json and item_classes.json @ e2bd511a, ../trade-query/data/items-2026-09-12.json and filters-2026-09-12.json, the item-facts raw stores (local)
name,item_class,class_name,export_category,release_state,domain,tags,trade_coarse_by_name,trade_id_predicted,basis,corpus_items,corpus_frames
Imperfect Warlord,ItemisedCorpse,Corpses,Corpse,released,undefined,itemisedcorpse_low default,corpse,corpse,class,0,
Imperial Bow,Bow,Bows,Bow,released,item,top_tier_base_item_type bow ranged two_hand_weapon twohand weapon default,weapon,weapon.bow,class,6,Rare:4 Unique:2
Imperial Buckler,Shield,Shields,Shield,released,item,dex_armour dex_shield top_tier_base_item_type shield armour default,armour,armour.shield,class,4,Rare:4
Imperial Claw,Claw,Claws,Claw,released,item,top_tier_base_item_type claw one_hand_weapon onehand weapon default,weapon,weapon.claw,class,22,Rare:14 Unique:7 Normal:1
Imperial Delirium Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,affliction_orb currency default,currency,currency,class,1,Currency:1
Imperial Enshrouding Crystal,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Imperial Legacy,DivinationCard,Divination Cards,Divination Card,released,undefined,weapon_divination divination_card default,card,card,class,3,DivinationCard:3
Imperial Maul,Two Hand Mace,Two Hand Maces,Two Hand Mace,released,item,top_tier_base_item_type mace two_hand_weapon twohand weapon default,weapon,weapon.twomace,class,3,Unique:2 Rare:1
Imperial Skean,Rune Dagger,Rune Daggers,Dagger,released,item,top_tier_base_item_type dagger one_hand_weapon onehand weapon default,weapon,weapon.runedagger,class,15,Unique:12 Rare:3
Imperial Staff,Staff,Staves,Staff,released,item,top_tier_base_item_type staff two_hand_weapon twohand weapon default,weapon,weapon.basestaff,class,28,Unique:26 Rare:2
Imperial Staff Piece,UniqueFragment,Pieces,Unique Piece,released,dummy,default,currency,currency.piece,class,3,Unique:3
Impossible Crystal,HeistObjective,Heist Targets,Heist Target,released,undefined,default,currency,currency.heistobjective,class,0,
Imprint,StackableCurrency,Stackable Currency,Currency,legacy,undefined,currency default,currency,currency,class,0,
Imprinted Bestiary Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,captured_beast currency default,,currency,class,0,
Incandescent Invitation,QuestItem,Quest Items,Quest Item,released,undefined,default,map,,none,42,Normal:42
Incense of Keth,HeistObjective,Heist Targets,Heist Target,released,undefined,default,currency,currency.heistobjective,class,1,Currency:1
Incinerate,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,5,Gem:5
Increased Area of Effect Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,28,Gem:28
Increased Critical Damage Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,28,Gem:28
Increased Critical Strikes Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,21,Gem:21
Increased Duration Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,,gem.supportgem,class,0,
Incursion Scarab,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content incursion_scarab common_scarab default,map,map.scarab,class + name rule,4,Normal:4
Incursion Scarab of Champions,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content incursion_scarab rare_scarab default,map,map.scarab,class + name rule,3,Normal:3
Incursion Scarab of Invasion,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content incursion_scarab uncommon_scarab default,map,map.scarab,class + name rule,5,Normal:5
Incursion Scarab of Timelines,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content incursion_scarab mythic_scarab default,map,map.scarab,class + name rule,3,Normal:3
Indigo Oil,StackableCurrency,Stackable Currency,Currency,released,undefined,mushrune currency default,currency,currency,class,5,Currency:5
Infantry Brigandine,Body Armour,Body Armours,Body Armour,released,item,str_dex_armour body_armour armour default,armour,armour.chest,class,0,
Infernal Axe,One Hand Axe,One Hand Axes,One Hand Axe,released,item,top_tier_base_item_type axe one_hand_weapon onehand weapon default,weapon,weapon.oneaxe,class,5,Unique:4 Rare:1
Infernal Blade,Rune Dagger,Rune Daggers,Dagger,released,item,not_for_sale experimental_base dagger one_hand_weapon onehand weapon default,weapon,weapon.runedagger,class,0,
Infernal Blow,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,3,Gem:3
Infernal Cry,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,6,Gem:6
Infernal Legion Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,3,Gem:3
Infernal Sweep,Active Skill Gem,Skill Gems,Skill Gem,unreleased,undefined,gem default,,gem.activegem,class,0,
Infernal Sword,Two Hand Sword,Two Hand Swords,Two Hand Sword,released,item,top_tier_base_item_type sword two_hand_weapon twohand weapon default,weapon,weapon.twosword,class,13,Unique:9 Rare:4
Infernal Talc,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Infested Valley Map,Map,Maps,Map,released,area,not_for_sale can_be_infected_map forest cannot_be_twinned map default,,map,class,0,
Infiltrator Boots,Boots,Boots,Boots,released,item,dex_int_armour top_tier_base_item_type not_for_sale boots armour default,armour,armour.boots,class,1,Rare:1
Infiltrator Mitts,Gloves,Gloves,Gloves,released,item,dex_int_armour top_tier_base_item_type not_for_sale gloves armour default,armour,armour.gloves,class,0,
Influenced Scouting Report,StackableCurrency,Stackable Currency,Currency,released,undefined,drops_in_maps_only currency default,currency,currency,class,2,Currency:2
Influencing Scarab of Hordes,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content influence_scarab uncommon_scarab default,map,map.scarab,class + name rule,4,Normal:4
Influencing Scarab of Interference,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab influence_scarab rare_scarab default,map,map.scarab,class + name rule,4,Normal:4
Influencing Scarab of the Elder,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content influence_scarab common_scarab default,map,map.scarab,class + name rule,4,Normal:4
Influencing Scarab of the Shaper,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content influence_scarab common_scarab default,map,map.scarab,class + name rule,4,Normal:4
Infused Channelling Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,21,Gem:21
Infused Engineer's Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,1,Currency:1
Infused Incubator,Incubator,Incubators,Incubator,released,undefined,default,currency,currency.incubator,class,4,Currency:4
Innervate Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,4,Gem:4
Inscribed Ultimatum,MiscMapItem,Misc Map Items,Misc Map Item,released,undefined,ultimatum_trial default,map,map,class,554,Currency:554
Inspiration Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,44,Gem:44
Instilling Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,mid_tier_currency currency default,currency,currency,class,3,Currency:3
Intensify Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,12,Gem:12
Intimidating Cry,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,12,Gem:12
Intrinsic Catalyst,StackableCurrency,Stackable Currency,Currency,released,undefined,catalyst currency default,currency,currency,class,4,Currency:4
Intuitive Link,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,4,Gem:4
Invasion Leaguestone,Leaguestone,Leaguestones,Leaguestone,released,leaguestone,invasion_leaguestone default,leaguestone,leaguestone,class,0,
Invention Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,level_capped_gem support_gem gem default,gem,gem.supportgem,class,0,
Invert the Rules Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,level_capped_gem support_gem gem default,gem,gem.supportgem,class,0,
Inya's Key,MapFragment,Map Fragments,Map Fragment,released,map_device,default,map,map.fragment,class,0,
Iolite Ring,Ring,Rings,Ring,released,item,not_for_sale atlas_base_type ringatlas5 ring default,accessory,accessory.ring,class,7,Rare:5 Magic:1 Normal:1
Iron Circlet,Helmet,Helmets,Helmet,released,item,int_armour helmet armour default,armour,armour.helmet,class,19,Unique:17 Rare:2
Iron Flask,UtilityFlask,Utility Flasks,Flask,released,flask,not_for_sale expedition_flask utility_flask flask default,flask,flask,class,1,Unique:1
Iron Gauntlets,Gloves,Gloves,Gloves,released,item,str_armour gloves armour default,armour,armour.gloves,class,13,Unique:13
Iron Greaves,Boots,Boots,Boots,released,item,str_armour boots armour default,armour,armour.boots,class,1,Magic:1
Iron Grip Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,2,Gem:2
Iron Hat,Helmet,Helmets,Helmet,released,item,str_armour helmet armour default,armour,armour.helmet,class,13,Unique:12 Magic:1
Iron Mask,Helmet,Helmets,Helmet,released,item,dex_int_armour helmet armour default,armour,armour.helmet,class,8,Unique:8
Iron Ring,Ring,Rings,Ring,released,item,ring default,accessory,accessory.ring,class,116,Unique:84 Rare:30 Magic:1 Normal:1
Iron Sceptre,Sceptre,Sceptres,One Hand Mace,released,item,sceptre sceptre one_hand_weapon onehand weapon default,weapon,weapon.sceptre,class,0,
Iron Staff,Warstaff,Warstaves,Staff,released,item,warstaff staff attack_staff two_hand_weapon twohand weapon default,weapon,weapon.warstaff,class,38,Unique:38
Iron Will Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,6,Gem:6
Ironscale Boots,Boots,Boots,Boots,released,item,str_dex_armour boots armour default,armour,armour.boots,class,10,Unique:10
Ironscale Gauntlets,Gloves,Gloves,Gloves,released,item,str_dex_armour gloves armour default,armour,armour.gloves,class,6,Unique:4 Rare:2
Ironwood Buckler,Shield,Shields,Shield,released,item,dex_armour dex_shield shield armour default,armour,armour.shield,class,4,Rare:2 Unique:2
Ironwood Tincture,Tincture,Tinctures,Tincture,released,tincture,tincture default,tincture,tincture,class,3,Normal:1 Magic:1 Unique:1
Item Quantity Support,Support Skill Gem,Support Gems,Support Gem,legacy,undefined,support_gem gem default,gem,gem.supportgem,class,1,Gem:1
Item Rarity Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,11,Gem:11
Ivory Bow,Bow,Bows,Bow,released,item,bow ranged two_hand_weapon twohand weapon default,weapon,weapon.bow,class,2,Rare:1 Magic:1
Ivory Spirit Shield,Shield,Shields,Shield,released,item,int_armour focus focus_can_roll_minion_modifiers shield armour default,armour,armour.shield,class,8,Unique:4 Rare:3 Normal:1
Ivory Temple Map,Map,Maps,Map,released,area,top_tier_map temple not_for_sale map default,,map,class,0,
Ivory Watchstone,AtlasUpgradeItem,Atlas Upgrade Items,Watchstone,released,undefined,default,,,none,0,
Jack in the Box,DivinationCard,Divination Cards,Divination Card,released,undefined,unique_divination divination_card default,card,card,class,4,DivinationCard:4
Jade Amulet,Amulet,Amulets,Amulet,released,item,amulet default,accessory,accessory.amulet,class,75,Unique:37 Rare:33 Normal:3 Magic:2
Jade Chopper,Two Hand Axe,Two Hand Axes,Two Hand Axe,released,item,axe two_hand_weapon twohand weapon default,weapon,weapon.twoaxe,class,0,
Jade Flask,UtilityFlask,Utility Flasks,Flask,released,flask,utility_flask flask default,flask,flask,class,141,Magic:89 Normal:52
Jade Hatchet,One Hand Axe,One Hand Axes,One Hand Axe,released,item,axe one_hand_weapon onehand weapon default,weapon,weapon.oneaxe,class,11,Unique:11
Jagged Foil,Thrusting One Hand Sword,Thrusting One Hand Swords,One Hand Sword,released,item,rapier sword one_hand_weapon onehand weapon default,weapon,weapon.rapier,class,11,Unique:11
Jagged Fossil,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency.fossil,class + name rule,2,Currency:2
Jagged Maul,Two Hand Mace,Two Hand Maces,Two Hand Mace,released,item,mace two_hand_weapon twohand weapon default,weapon,weapon.twomace,class,7,Unique:7
"Jamanra, the Legendary Warrior",QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Jasper Axe,One Hand Axe,One Hand Axes,One Hand Axe,released,item,axe one_hand_weapon onehand weapon default,weapon,weapon.oneaxe,class,0,
Jasper Chopper,Two Hand Axe,Two Hand Axes,Two Hand Axe,released,item,axe two_hand_weapon twohand weapon default,weapon,weapon.twoaxe,class,4,Unique:4
Jester Mask,Helmet,Helmets,Helmet,released,item,dex_int_armour top_tier_base_item_type not_for_sale helmet armour default,armour,armour.helmet,class,2,Rare:2
Jet Amulet,Amulet,Amulets,Amulet,unique_only,item,not_for_sale demigods amulet default,accessory,accessory.amulet,class,0,
Jet Ring,Ring,Rings,Ring,unreleased,item,not_for_sale demigods ring default,,accessory.ring,class,0,
Jewelled Foil,Thrusting One Hand Sword,Thrusting One Hand Swords,One Hand Sword,released,item,rapier top_tier_base_item_type sword one_hand_weapon onehand weapon default,weapon,weapon.rapier,class,4,Unique:3 Rare:1
Jeweller's Delirium Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,affliction_orb currency default,currency,currency,class,3,Currency:3
Jeweller's Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,lesser_currency low_tier_currency currency default,currency,currency,class,9,Currency:9
Jewellery Recombinator,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,,currency,class,0,
Jingling Spirit Shield,Shield,Shields,Shield,released,item,int_armour focus shield armour default,armour,armour.shield,class,3,Unique:2 Rare:1
Jolting Eshgraft,RemovedItem,,,released,brequel_graft,graft graft_esh graft_esh_jolt_buff default,graft,graft,class,0,
Journey Rune,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,,currency,class,0,
Journey Tattoo of Makanui,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Journey Tattoo of the Body,StackableCurrency,Stackable Currency,Currency,released,undefined,str_tattoo currency default,currency,currency,class,0,
Journey Tattoo of the Mind,StackableCurrency,Stackable Currency,Currency,released,undefined,dex_tattoo currency default,currency,currency,class,0,
Journey Tattoo of the Soul,StackableCurrency,Stackable Currency,Currency,released,undefined,int_tattoo currency default,currency,currency,class,0,
Journeyman Cartographer's Seal,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Judgement Staff,Warstaff,Warstaves,Staff,released,item,warstaff top_tier_base_item_type staff attack_staff two_hand_weapon twohand weapon default,weapon,weapon.warstaff,class,6,Unique:4 Rare:2
Judgemental Spirit,ItemisedCorpse,Corpses,Corpse,released,undefined,itemisedcorpse_mid default,corpse,corpse,class,0,
Judging Voices,DivinationCard,Divination Cards,Divination Card,released,undefined,armour_divination unique_divination unique_armour_divination boss_drop_card divination_card default,card,card,class,0,
Jungle Valley Map,Map,Maps,Map,released,area,forest not_for_sale old_map map default,,map,class,0,
Justified Ambition,DivinationCard,Divination Cards,Divination Card,released,undefined,maps_divination unique_divination maps_unique_divination divination_card default,card,card,class,3,DivinationCard:3
Kalguuran Delirium Orb,StackableCurrency,Stackable Currency,Currency,released,undefined,affliction_orb currency default,currency,currency,class,1,Currency:1
Kalguuran Incubator,Incubator,Incubators,Incubator,released,undefined,default,currency,currency.incubator,class,1,Currency:1
Kalguuran Scarab,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content common_scarab settlers_scarab default,map,map.scarab,class + name rule,4,Normal:4
Kalguuran Scarab of Enriching,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content rare_scarab settlers_scarab default,map,map.scarab,class + name rule,2,Normal:2
Kalguuran Scarab of Guarded Riches,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content uncommon_scarab settlers_scarab default,map,map.scarab,class + name rule,3,Normal:3
Kalguuran Scarab of Refinement,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content mythic_scarab settlers_scarab default,map,map.scarab,class + name rule,1,Normal:1
Kamasan Idol,AtlasRelic,Idols,Idol,released,map_relic,atlas_relic atlas_relic_medium default,idol,idol,class,4,Rare:2 Magic:2
Kaom's Greaves,Boots,Boots,Boots,unreleased,item,str_armour not_for_sale boots armour default,,armour.boots,class,0,
Kaom's Plate,Body Armour,Body Armours,Body Armour,unreleased,item,str_armour not_for_sale body_armour armour default,,armour.chest,class,0,
Karst's Lockpicks,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Karui Axe,One Hand Axe,One Hand Axes,One Hand Axe,released,item,axe one_hand_weapon onehand weapon default,weapon,weapon.oneaxe,class,1,Rare:1
Karui Chopper,Two Hand Axe,Two Hand Axes,Two Hand Axe,released,item,axe two_hand_weapon twohand weapon default,weapon,weapon.twoaxe,class,7,Rare:4 Normal:1 Magic:1 Unique:1
Karui Enshrouding Crystal,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Karui Maul,Two Hand Mace,Two Hand Maces,Two Hand Mace,released,item,mace two_hand_weapon twohand weapon default,weapon,weapon.twomace,class,3,Rare:2 Unique:1
Karui Sceptre,Sceptre,Sceptres,One Hand Mace,released,item,sceptre sceptre one_hand_weapon onehand weapon default,weapon,weapon.sceptre,class,11,Rare:7 Unique:4
Katakohi's Ducat,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,1,Currency:1
Keeper's Corruption,DivinationCard,Divination Cards,Divination Card,released,undefined,armour_divination elder_divination divination_card default,card,card,class,0,
Key of Devotion,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Key of Strength,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Key to Decay,MapFragment,Map Fragments,Map Fragment,released,undefined,default,,map.fragment,class,0,
Key to the Crucible,MapFragment,Map Fragments,Map Fragment,released,undefined,default,,map.fragment,class,0,
Keyblade,Two Hand Sword,Two Hand Swords,Two Hand Sword,unreleased,undefined,not_for_sale sword two_hand_weapon twohand weapon default,,weapon.twosword,class,0,
Kinetic Blast,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,7,Gem:7
Kinetic Bolt,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,4,Gem:4
Kinetic Fusillade,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,5,Gem:5
Kinetic Instability Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,0,
Kinetic Rain,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,2,Gem:2
Kinetic Wand,Wand,Wands,Wand,released,item,top_tier_base_item_type wand ranged one_hand_weapon onehand weapon default,weapon,weapon.wand,class,4,Unique:3 Rare:1
Kirac's Memory,MemoryLine,Memories,Memory,released,memory_lines,memory_line_kirac drops_in_maps_only default,,memoryline,class,0,
Kishara's Ducat,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency,class,0,
Kishara's Star,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Knight Helm,Helmet,Helmets,Helmet,released,item,str_dex_armour top_tier_base_item_type not_for_sale helmet armour default,armour,armour.helmet,class,2,Rare:2
Knockback Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,4,Gem:4
Kraityn's Amulet,QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
Laboratory Map,Map,Maps,Map,released,area,not_for_sale urban temple indoors_area can_be_infected_map map default,,map,class,0,
Labrys,Two Hand Axe,Two Hand Axes,Two Hand Axe,released,item,axe two_hand_weapon twohand weapon default,weapon,weapon.twoaxe,class,5,Rare:3 Magic:1 Normal:1
Lacerate,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,15,Gem:15
Lacewood Spirit Shield,Shield,Shields,Shield,released,item,int_armour focus shield armour default,armour,armour.shield,class,4,Rare:4
Lachrymal Necrosis,DivinationCard,Divination Cards,Divination Card,released,undefined,jewellery_divination corrupted_divination divination_card default,card,card,class,4,DivinationCard:4
Lacquered Buckler,Shield,Shields,Shield,released,item,dex_armour dex_shield shield armour default,armour,armour.shield,class,15,Rare:6 Unique:6 Normal:2 Magic:1
Lacquered Garb,Body Armour,Body Armours,Body Armour,released,item,dex_int_armour body_armour armour default,armour,armour.chest,class,18,Unique:14 Rare:4
Lacquered Helmet,Helmet,Helmets,Helmet,released,item,str_dex_armour helmet armour default,armour,armour.helmet,class,26,Rare:18 Unique:8
Lair Map,Map,Maps,Map,released,area,top_tier_map forest not_for_sale map default,,map,class,0,
Lair of the Hydra Map,Map,Maps,Map,released,area,top_tier_map indoors_area dungeon swamp not_for_sale cannot_be_twinned map default,,map,class,0,
Laminated Kite Shield,Shield,Shields,Shield,released,item,str_int_armour str_int_shield shield armour default,armour,armour.shield,class,12,Unique:10 Rare:2
Lancing Steel,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,10,Gem:10
Lantador's Lost Love,DivinationCard,Divination Cards,Divination Card,released,undefined,jewellery_divination divination_card default,card,card,class,4,DivinationCard:4
Lapis Amulet,Amulet,Amulets,Amulet,released,item,amulet default,accessory,accessory.amulet,class,56,Unique:28 Rare:26 Normal:1 Magic:1
Large Cluster Jewel,Jewel,Jewels,Jewel,released,affliction_jewel,jewel not_for_sale expansion_jewel_large default,jewel,jewel.cluster,class + name rule,195,Rare:133 Magic:33 Normal:24 Unique:5
Large Hybrid Flask,HybridFlask,Hybrid Flasks,Flask,released,flask,hybrid_flask flask default,flask,flask,class,8,Unique:8
Large Life Flask,LifeFlask,Life Flasks,Flask,released,flask,life_flask flask default,flask,flask,class,0,
Large Mana Flask,ManaFlask,Mana Flasks,Flask,released,flask,mana_flask flask default,flask,flask,class,0,
Last Hope,DivinationCard,Divination Cards,Divination Card,released,undefined,divination_card default,card,card,class,3,DivinationCard:3
Last Stand,DivinationCard,Divination Cards,Divination Card,released,undefined,unique_divination armour_divination boss_drop_card divination_card default,card,card,class,0,
Lathi,Staff,Staves,Staff,released,item,top_tier_base_item_type staff two_hand_weapon twohand weapon default,weapon,weapon.basestaff,class,6,Rare:3 Unique:3
Latticed Ringmail,Body Armour,Body Armours,Body Armour,released,item,str_int_armour body_armour armour default,armour,armour.chest,class,16,Unique:14 Rare:2
Lava Chamber Map,Map,Maps,Map,released,area,not_for_sale indoors_area dungeon old_map map default,,map,class,0,
Lava Lake Map,Map,Maps,Map,released,area,not_for_sale can_be_infected_map beach forest cannot_be_twinned map default,,map,class,0,
Lavish Wombgift,BrequelFruit,Wombgifts,Wombgift,released,undefined,brequelfruit default,wombgift,wombgift,class,5,Currency:5
Layered Kite Shield,Shield,Shields,Shield,released,item,str_int_armour str_int_shield shield armour default,armour,armour.shield,class,1,Magic:1
Lead Sceptre,Sceptre,Sceptres,One Hand Mace,released,item,sceptre sceptre one_hand_weapon onehand weapon default,weapon,weapon.sceptre,class,0,
Leap Slam,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,29,Gem:29
Leather Belt,Belt,Belts,Belt,released,item,belt default,accessory,accessory.belt,class,106,Rare:55 Unique:50 Normal:1
Leather Bracers,HeistEquipmentTool,Heist Tools,Heist Tool,released,heist_npc,heist_equipment_bruteforce heist_equipment_tool heist_equipment default,heistequipment,heistequipment.heisttool,class,4,Magic:2 Rare:1 Normal:1
Leather Cap,Helmet,Helmets,Helmet,released,item,dex_armour helmet armour default,armour,armour.helmet,class,20,Unique:19 Rare:1
Leather Hood,Helmet,Helmets,Helmet,released,item,dex_armour helmet armour default,armour,armour.helmet,class,16,Unique:15 Rare:1
Leatherscale Boots,Boots,Boots,Boots,released,item,str_dex_armour boots armour default,armour,armour.boots,class,0,
Left to Fate,DivinationCard,Divination Cards,Divination Card,released,undefined,maps_divination corrupted_divination divination_card default,card,card,class,2,DivinationCard:2
Legion Boots,Boots,Boots,Boots,released,item,str_int_armour top_tier_base_item_type boots armour default,armour,armour.boots,class,25,Rare:14 Unique:10 Magic:1
Legion Gloves,Gloves,Gloves,Gloves,released,item,str_int_armour top_tier_base_item_type gloves armour default,armour,armour.gloves,class,17,Rare:10 Unique:7
Legion Hammer,One Hand Mace,One Hand Maces,One Hand Mace,released,item,top_tier_base_item_type mace one_hand_weapon onehand weapon default,weapon,weapon.basemace,class,0,
Legion Plate,Body Armour,Body Armours,Body Armour,released,item,str_armour top_tier_base_item_type not_for_sale body_armour armour default,armour,armour.chest,class,4,Rare:4
Legion Scarab,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content legion_scarab common_scarab default,map,map.scarab,class + name rule,4,Normal:4
Legion Scarab of Eternal Conflict,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content legion_scarab mythic_scarab default,map,map.scarab,class + name rule,4,Normal:4
Legion Scarab of Officers,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content legion_scarab rare_scarab default,map,map.scarab,class + name rule,4,Normal:4
Legion Scarab of The Sekhema,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content legion_scarab mythic_scarab default,map,map.scarab,class + name rule,1,Normal:1
Legion Scarab of Treasures,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content legion_scarab rare_scarab default,map,map.scarab,class + name rule,4,Normal:4
Legion Sword,One Hand Sword,One Hand Swords,One Hand Sword,released,item,top_tier_base_item_type sword one_hand_weapon onehand weapon default,weapon,weapon.basesword,class,10,Unique:10
Legion Sword Piece,UniqueFragment,Pieces,Unique Piece,released,dummy,default,currency,currency.piece,class,6,Unique:6
Less Duration Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,support_gem gem default,gem,gem.supportgem,class,8,Gem:8
Lesser Black Scythe Artifact,StackableCurrency,Stackable Currency,Currency,released,undefined,disallowed_in_generic_currency_stash_slots expedition_currency_faction2 currency default,currency,currency,class,0,
Lesser Broken Circle Artifact,StackableCurrency,Stackable Currency,Currency,released,undefined,disallowed_in_generic_currency_stash_slots expedition_currency_faction1 currency default,currency,currency,class,0,
Lesser Eldritch Ember,StackableCurrency,Stackable Currency,Currency,released,undefined,drops_in_maps_only eldritch_ember currency default,currency,currency,class,3,Currency:3
Lesser Eldritch Ichor,StackableCurrency,Stackable Currency,Currency,released,undefined,drops_in_maps_only eldritch_ichor currency default,currency,currency,class,3,Currency:3
Lesser Order Artifact,StackableCurrency,Stackable Currency,Currency,released,undefined,disallowed_in_generic_currency_stash_slots expedition_currency_faction3 currency default,currency,currency,class,0,
Lesser Reduced Mana Cost Support,Support Skill Gem,Support Gems,Support Gem,unreleased,undefined,support_gem gem default,,gem.supportgem,class,0,
Lesser Sun Artifact,StackableCurrency,Stackable Currency,Currency,released,undefined,disallowed_in_generic_currency_stash_slots expedition_currency_faction4 currency default,currency,currency,class,0,
Lethal Dose Support,Support Skill Gem,Support Gems,Support Gem,released,undefined,level_capped_gem support_gem gem default,gem,gem.supportgem,class,0,
Lethean Temptation,DivinationCard,Divination Cards,Divination Card,released,undefined,weapon_divination unique_divination unique_weapon_divination boss_drop_card divination_card default,card,card,class,0,
Leviathan Gauntlets,Gloves,Gloves,Gloves,released,item,str_armour top_tier_base_item_type not_for_sale gloves armour default,armour,armour.gloves,class,2,Rare:2
Leviathan Greaves,Boots,Boots,Boots,released,item,str_armour top_tier_base_item_type not_for_sale boots armour default,armour,armour.boots,class,3,Rare:3
