# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
trade_number,group,class,reason,mods,table,mod,pob_description,export_numbers,capture_categories,export_string
1854213750,minion_critical_strike_multiplier_+,reproduced,,8,ModDelve,MinionCriticalStrikeMultiplierDelve,Minions have +(30-38)% to Critical Strike Multiplier,1854213750,explicit fractured,Minions have {0}% to Critical Strike Multiplier
1855381243,damage_over_time_+%_per_100_max_life,reproduced,,1,ModFoulborn,MutatedUniqueShieldInt1DamageOverTimePer100PlayerMaxLife,Deal 3% increased Damage Over Time per 100 Player Maximum Life,1855381243,explicit,Deal {0}% increased Damage Over Time per 100 Player Maximum Life
1857635068,physical_damage_reduction_rating_+%_while_chilled_or_frozen,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,IncreasedArmourWhileChilledOrFrozenUnique__1,300% increased Armour while Chilled or Frozen,,not in capture,
1857928882,critical_strike_damage_cannot_be_reflected,reproduced,,1,ModJewelCharm,AnimalCharmCriticalStrikeDamageCannotBeReflected,Damage from your Critical Strikes cannot be Reflected,1857928882,explicit,Damage from your Critical Strikes cannot be Reflected
1857935842,summon_arbalist_number_of_splits,reproduced,,1,ModItemExclusive,SummonArbalistNumberOfSplits__,Summoned Arbalists' Projectiles Split into 3,1857935842,explicit,Summoned Arbalists' Projectiles Split into {0}
1858426568,chance_to_freeze_%_with_tinctured_weapons,explained,stat group has no translation entry,1,ModItemExclusive,TinctureChanceToFreezeImplicit1,25% chance to Freeze with Melee Weapons,,implicit,
1859244771,local_display_socketed_gems_supported_by_level_x_bonechill,reproduced,,2,ModItemExclusive,DisplaySupportedByBonechillUnique__1,Socketed Gems are Supported by Level 15 Bonechill,1859244771,explicit,Socketed Gems are Supported by Level {0} Bonechill
1859937391,local_display_socketed_gems_physical_damage_%_to_add_as_lightning,reproduced,,1,ModExplicit,SocketedGemsAddPercentageOfPhysicalAsLightningEssence1,Socketed Gems gain 50% of Physical Damage as extra Lightning Damage,1859937391,explicit fractured,Socketed Gems gain {0}% of Physical Damage as extra Lightning Damage
1861759600,traps_cannot_be_triggered_by_enemies,reproduced,,1,ModItemExclusive,TrapsCannotBeTriggeredByEnemiesUnique__1,Traps cannot be triggered by Enemies,1861759600,explicit,Traps cannot be triggered by Enemies
1861913998,critical_strike_chance_+%_per_25_intelligence,reproduced,,1,ModItemExclusive,CriticalStrikeChancePerIntelligenceUnique__1,5% increased Critical Strike Chance per 25 Intelligence,1861913998,explicit,{0}% increased Critical Strike Chance per 25 Intelligence
1862097882,spectres_critical_strike_chance_+%,reproduced,,1,ModItemExclusive,SpectreCriticalStrikeChanceUnique__1,Raised Spectres have (800-1000)% increased Critical Strike Chance,1862097882,explicit,Raised Spectres have {0}% increased Critical Strike Chance
1862591837,lose_%_of_life_on_crit,reproduced,,2,ModFoulborn,MutatedUniqueTwoHandMace6LoseLifePercentOnCrit,Lose 1% of Life when you deal a Critical Strike,1862591837,explicit,Lose {0}% of Life when you deal a Critical Strike
1862926389,herald_of_ice_buff_effect_+%,reproduced,,19,ModEldritch,HeraldBonusIceEffectEldritchImplicit1,Herald of Ice has (15-17)% increased Buff Effect,1862926389,explicit implicit,Herald of Ice has {0}% increased Buff Effect
1863071073,cannot_use_mana_flasks,reproduced,,1,ModItemExclusive,CannotUseManaFlaskUnique__1,Can't use Mana Flasks,1863071073,explicit,Can't use Mana Flasks
1863128284,non_instant_warcries_have_no_cooldown,reproduced,,1,ModItemExclusive,NoCooldownWarcriesUnique,Non-Instant Warcries ignore their Cooldown when Used,1863128284,explicit,Non-Instant Warcries ignore their Cooldown when Used
1864616755,cold_resistance_cannot_be_penetrated,reproduced,,1,ModNecropolis,NecropolisCraftingColdResistanceCannotBePenetrated,Cold Resistance cannot be Penetrated,1864616755,explicit fractured,Cold Resistance cannot be Penetrated
1865428306,spell_minimum_added_chaos_damage_while_dual_wielding|spell_maximum_added_chaos_damage_while_dual_wielding,reproduced,,6,ModJewelAbyss,AbyssSpellAddedChaosDamageWhileDualWieldingJewel1,(1-3) to (4-7) Added Spell Chaos Damage while Dual Wielding,1865428306,explicit fractured,{0} to {1} Added Spell Chaos Damage while Dual Wielding
1865744989,base_chaos_damage_damages_energy_shield_%,reproduced,export text join ambiguous; the hash picks one,2,ModItemExclusive,ChaosDamageDoesNotBypassEnergyShieldPercentUnique__1,33% of Chaos Damage taken does not bypass Energy Shield,1119465199 1865744989,explicit implicit,Chaos Damage taken does not bypass Energy Shield
1865987277,wrath_reserves_no_mana,reproduced,,1,ModItemExclusive,WrathNoReservationUnique__1,Wrath has no Reservation,1865987277,explicit,Wrath has no Reservation
1866211373,local_flask_during_effect_enemy_damage_taken_+%_on_consecrated_ground,reproduced,,1,ModItemExclusive,FlaskConsecratedGroundDamageTakenUnique__1,Consecrated Ground created during Effect applies (7-10)% increased Damage taken to Enemies,1866211373,explicit,Consecrated Ground created during Effect applies {0}% increased Damage taken to Enemies
1866583932,local_display_socketed_gems_supported_by_level_x_void_manipulation,reproduced,,1,ModItemExclusive,HungryLoopSupportedByVoidManipulation,Socketed Gems are Supported by Level 20 Void Manipulation,1866583932,explicit,Socketed Gems are Supported by Level {0} Void Manipulation
1866911844,local_display_socketed_gems_get_reduced_mana_cost_level,reproduced,export text join ambiguous; the hash picks one,7,ModCorrupted,V2SupportedByReducedManaCorrupted,Socketed Gems are Supported by Level 10 Inspiration,749770518 1866911844,explicit fractured implicit,Socketed Gems are Supported by Level {0} Inspiration
1867426121,damage_over_time_multiplier_+_with_tinctured_weapons,explained,stat group has no translation entry,5,ModTincture,TinctureDamageOverTimeMultiplier1,+(9-13)% to Damage over Time Multiplier with Melee Weapon Attacks,,explicit,
1869144397,local_display_trigger_level_X_void_gaze_on_skill_use,reproduced,,2,ModItemExclusive,GrantsVoidGazeUnique__1,Trigger Level 10 Void Gaze when you use a Skill,1869144397,explicit implicit,Trigger Level {0} Void Gaze when you use a Skill
1869678332,local_unique_flask_elemental_damage_taken_+%_of_lowest_uncapped_resistance_type,reproduced,,1,ModItemExclusive,FlaskElementalDamageTakenOfLowestResistUnique__1,"During Effect, 6% reduced Damage taken of each Element for which your Uncapped Elemental Resistance is lowest",1869678332,explicit,"During Effect, {0}% increased Damage taken of each Element for which your Uncapped Elemental Resistance is lowest"
1870732546,chance_to_summon_two_totems_%,reproduced,,2,ModJewelCharm,AnimalCharmChanceToSummonTwoTotems1,Skills that Summon a Totem have (20-30)% chance to Summon two Totems instead of one,1870732546,explicit,Skills that Summon a Totem have {0}% chance to Summon two Totems instead of one
1871056256,physical_damage_taken_%_as_cold,reproduced,,55,ModCorrupted,V2PhysicalDamageTakenAsColdCorrupted,(6-8)% of Physical Damage from Hits taken as Cold Damage,1871056256,explicit fractured implicit scourge,{0}% of Physical Damage from Hits taken as Cold Damage
1871491972,body_armour_implicit_damage_taken_-1%_final_per_X_strength,reproduced,,18,ModEldritch,DamageTakenPerStrengthEldritchImplicit1,1% less Damage Taken per 230 Strength,1871491972,implicit,1% less Damage Taken per {0} Strength
1871765599,base_avoid_shock_%,reproduced,,45,ModCorrupted,AvoidShockCorruption,(10-20)% chance to Avoid being Shocked,1871765599,crafted enchant explicit fractured implicit scourge,{0}% chance to Avoid being Shocked
1871938116,gain_onslaught_while_on_low_life,reproduced,,1,ModItemExclusive,OnslaughtOnLowLifeUnique__1,You have Onslaught while on Low Life,1871938116,explicit,You have Onslaught while on Low Life
1872107885,hits_have_critical_strike_multipler_+_per_monster_power,reproduced,,1,ModItemExclusive,CriticalStrikeMultiplierMonsterPowerUnique__1,Hits with this Weapon have +10% to Critical Strike Multiplier per Enemy Power,1872107885,explicit,Hits with this Weapon have +{0}% to Critical Strike Multiplier per Enemy Power
1872128565,maximum_siphoning_charges_per_elder_or_shaper_item_equipped,reproduced,,1,ModItemExclusive,MaximumSiphoningChargePerElderOrShaperItemUnique__1,+1 to Maximum Siphoning Charges per Elder or Shaper Item Equipped,1872128565,explicit,{0} to Maximum Siphoning Charges per Elder or Shaper Item Equipped
1872333105,local_unique_jewel_projectile_damage_+1%_per_x_dex_in_radius,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,ExtraArrowForSplitArrowUniqueJewel60,1% increased Projectile Damage per 5 Dexterity from Allocated Passives in Radius,,not in capture,
1873457881,additional_physical_damage_reduction_%_while_affected_by_determination,reproduced,,1,ModSynthesis,SynthesisImplicitDeterminationPhysicalDamageReduction1,(4-6)% additional Physical Damage Reduction while affected by Determination,1873457881,explicit implicit,{0}% additional Physical Damage Reduction while affected by Determination
1874553720,base_self_chill_duration_-%,reproduced,,5,ModItemExclusive,ReducedChillDurationOnSelfUniqueRing30,20% reduced Chill Duration on you,1874553720,explicit implicit,{0}% reduced Chill Duration on you
1876637240,local_display_socketed_gems_supported_by_level_x_spell_focus,reproduced,export text join ambiguous; the hash picks one,1,ModItemExclusive,HungryLoopSupportedBySpellFocus,Socketed Gems are Supported by Level 20 Intensify,28821524 1792524915 1876637240,explicit,Socketed Gems are Supported by Level {0} Intensify
1876857497,gain_mind_over_matter_while_at_maximum_power_charges,reproduced,,1,ModItemExclusive,ChargeBonusMindOverMatterPowerCharges,You have Mind over Matter while at maximum Power Charges,1876857497,explicit,You have Mind over Matter while at maximum Power Charges
1877661946,shrine_effect_duration_+%,reproduced,,1,ModItemExclusive,ShrineEffectDurationUniqueHelmetDexInt3,(25-50)% increased Duration of Shrine Effects on you,1877661946,explicit,{0}% increased Duration of Shrine Effects on you
1878455805,local_self_shock_effect_+%_during_flask_effect,reproduced,,5,ModFlask,FlaskBuffShockEffect1,(36-41)% reduced Effect of Shock on you during Effect,1878455805,explicit fractured,{0}% increased Effect of Shock on you during Effect
1878928358,local_attack_cast_movement_speed_+%_during_flask_effect,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,DegradingMovementSpeedDuringFlaskEffectUnique__1,"50% increased Attack, Cast and Movement Speed during Effect",,not in capture,
1880071428,non_curse_aura_effect_+%,reproduced,,42,ModDelve,DelveBodyArmourAuraEffect1_,(20-25)% increased effect of Non-Curse Auras from your Skills,1880071428,explicit fractured implicit scourge,{0}% increased effect of Non-Curse Auras from your Skills
1881314095,endurance_only_conduit,reproduced,,2,ModItemExclusive,ShareEnduranceChargesWithParty,Share Endurance Charges with nearby party members,1881314095,explicit implicit,Share Endurance Charges with nearby party members
1882129725,local_affliction_notable_guerilla_tactics,reproduced,,1,ModJewelCluster,AfflictionNotableGuerillaTactics,1 Added Passive Skill is Guerilla Tactics,1882129725,explicit fractured,1 Added Passive Skill is Guerilla Tactics
1882929618,local_display_supported_by_level_x_awakened_void_manipulation,reproduced,,1,ModItemExclusive,HungryLoopSupportedByAwakenedVoidManipulation,Socketed Gems are Supported by Level 5 Awakened Void Manipulation,1882929618,explicit,Socketed Gems are Supported by Level {0} Awakened Void Manipulation
1883691564,aspect_of_the_crab_buff_effect_+%,reproduced,,1,ModItemExclusive,TalismanEnchantCrabAspectBuffEffect,100% increased Aspect of the Crab Buff Effect,1883691564,enchant,{0}% increased Aspect of the Crab Buff Effect
1886245216,base_number_of_arbalists,reproduced,,1,ModItemExclusive,SummonArbalistNumberOfArbalistsAllowed,+1 to number of Summoned Arbalists,1886245216,explicit,{0} to number of Summoned Arbalists
1887270958,area_of_effect_+%_if_you_have_blocked_recently,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,AreaOfEffectIfBlockedRecentlyUber1,20% increased Area of Effect if you have Blocked Recently,,not in capture,
1887508417,cannot_be_stunned_while_leeching,reproduced,,1,ModJewelCharm,AnimalCharmStunImmuneWhileLeeching,Cannot be Stunned while Leeching,1887508417,explicit,Cannot be Stunned while Leeching
1888453198,local_pearl_random_support_gem_1_slot_index,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,UniquePearlSupportOne,,,not in capture,
1888494262,cold_damage_can_ignite,reproduced,export text join ambiguous; the hash picks one,1,ModExplicit,RecombinatorSpecialAllColdDamageCanIgnite,Your Cold Damage can Ignite,1888494262 3573591118,explicit fractured,Your Cold Damage can Ignite
1889095429,local_display_supported_by_level_x_awakened_cold_penetration,reproduced,,1,ModItemExclusive,HungryLoopSupportedByAwakenedColdPenetration,Socketed Gems are Supported by Level 5 Awakened Cold Penetration,1889095429,explicit,Socketed Gems are Supported by Level {0} Awakened Cold Penetration
1889350679,minion_fire_damage_resistance_%,reproduced,,1,ModItemExclusive,MinionFireResistUnique__1,Minions have +40% to Fire Resistance,1889350679,explicit,Minions have {0}% to Fire Resistance
1891782369,ignite_damage_+%_vs_chilled_enemies,reproduced,,1,ModItemExclusive,BurningDamageToChilledEnemiesUniqueOneHandAxe2,100% increased Damage with Ignite inflicted on Chilled Enemies,1891782369,explicit,{0}% increased Damage with Ignite inflicted on Chilled Enemies
1892084828,local_display_cast_physical_aegis_on_gain_skill,reproduced,,2,ModItemExclusive,TriggeredPhysicalAegisSkillUnique__1,Triggers Level 20 Physical Aegis when Equipped,1892084828,explicit implicit,Triggers Level {0} Physical Aegis when Equipped
1894653141,phasing_%_for_3_seconds_on_trap_triggered_by_an_enemy,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,PhasingOnTrapTriggeredUnique__1,0% chance to gain Phasing for 4 seconds when your Trap is triggered by an Enemy,,not in capture,
1896269067,base_deal_no_chaos_damage,reproduced,,2,ModItemExclusive,DealNoChaosDamageUnique_1,Deal no Chaos Damage,1896269067,explicit scourge,Deal no Chaos Damage
1896971621,mine_laying_speed_+%,reproduced,,31,ModEldritch,MineLayingSpeedEldritchImplicit1,8% increased Mine Throwing Speed,1896971621,crafted explicit fractured implicit scourge,{0}% increased Mine Throwing Speed
1898242171,local_display_grants_unholy_might,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,GrantsUnholyMightUnique__1,,,not in capture,
1898967950,life_regen_per_minute_per_endurance_charge,reproduced,,3,ModItemExclusive,LifeRegenPerMinutePerEnduranceChargeUniqueBodyDexInt3,Regenerate 75 Life per second per Endurance Charge,1898967950,explicit implicit,Regenerate {0} Life per second per Endurance Charge
1900098804,local_display_socketed_gems_supported_by_level_x_impale,reproduced,,2,ModCorrupted,V2SupportedByImpaleCorrupted,Socketed Gems are Supported by Level 10 Impale,1900098804,explicit implicit,Socketed Gems are Supported by Level {0} Impale
1901158930,base_cannot_gain_bleeding,reproduced,,5,ModCorrupted,V2CannotGainBleedingCorrupted_,Bleeding cannot be inflicted on you,1901158930,explicit implicit,Bleeding cannot be inflicted on you
1902595112,local_display_nearby_enemy_chaos_damage_resistance_%,reproduced,,8,ModDelve,DelveHelmetEnemyChaosResistanceAura1,Nearby Enemies have -9% to Chaos Resistance,1902595112,explicit fractured scourge,Nearby Enemies have {0}% to Chaos Resistance
1903097619,local_affliction_jewel_small_nodes_grant_attack_and_cast_speed_+%_with_physical_skills,reproduced,,3,ModJewelCluster,AfflictionJewelSmallPassivesGrantPhysicalSkillAttackAndCastSpeed,Added Small Passive Skills also grant: 1% increased Attack and Cast Speed with Physical Skills,1903097619,explicit fractured,Added Small Passive Skills also grant: {0}% increased Attack and Cast Speed with Physical Skills
1903496649,local_affliction_notable_graceful_execution,reproduced,,1,ModJewelCluster,AfflictionNotableGracefulExecution_,1 Added Passive Skill is Graceful Execution,1903496649,explicit fractured,1 Added Passive Skill is Graceful Execution
1904031052,inflict_withered_for_2_seconds_on_hit_if_cast_dispair_in_past_10_seconds,reproduced,,1,ModItemExclusive,DespairWitherOnHitUnique__1,Inflict Withered for 2 seconds on Hit if you've cast Despair in the past 10 seconds,1904031052,explicit,Inflict Withered for 2 seconds on Hit if you've cast Despair in the past 10 seconds
1904419785,local_display_grant_level_x_petrification_statue,reproduced,,2,ModItemExclusive,PetrificationStatueUnique__1,Grants Level 20 Petrification Statue Skill,1904419785,explicit implicit,Grants Level {0} Petrification Statue Skill
1904530666,physical_damage_from_hits_%_taken_as_random_element,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,PhysicalDamageTakenAsRandomElementUnique__1,20% of Physical Damage from Hits taken as Damage of a Random Element,,not in capture,
1904581068,local_affliction_notable_force_multiplier,reproduced,,1,ModJewelCluster,AfflictionNotableForceMultiplier,1 Added Passive Skill is Force Multiplier,1904581068,explicit fractured,1 Added Passive Skill is Force Multiplier
1905034712,from_self_minimum_added_fire_damage_taken|from_self_maximum_added_fire_damage_taken,reproduced,,2,ModVeiled,JunMasterVeiledAddedFireAndColdDamageInverted,Adds (14-16) to (20-22) Fire Damage to Hits against you,1905034712,crafted explicit fractured,Adds {0} to {1} Fire Damage to Hits against you
1905512385,local_right_ring_slot_lightning_damage_taken_%_as_fire,reproduced,,1,ModItemExclusive,ReflectedFireLightningDamageTakenConversionImplicitK5b,Right ring slot: 25% of Lightning Damage from Hits taken as Fire Damage,1905512385,implicit,Right ring slot: {0}% of Lightning Damage from Hits taken as Fire Damage
1907260000,local_hits_ignore_enemy_monster_physical_damage_reduction_%_chance,reproduced,,7,ModExplicit,ArmourPenetrationWeaponInfluence1,Hits with this Weapon have (50-65)% chance to ignore Enemy Physical Damage Reduction,1907260000,explicit fractured implicit,Hits with this Weapon have {0}% chance to ignore Enemy Physical Damage Reduction
1907816858,local_unique_jewel_attack_and_cast_speed_+%_with_passive_tree_connected_to_shadow_start,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,StarterPassiveJewelUnique__11__,"While your Passive Skill Tree connects to the Shadow's starting location, you gain: / 12% increased Attack and Cast Speed",,not in capture,
1910205563,elemental_resistance_%_per_10_devotion,reproduced,,1,ModItemExclusive,ElementalResistancesPerDevotion,+2% to all Elemental Resistances per 10 Devotion,1910205563,explicit,{0}% to all Elemental Resistances per 10 Devotion
1910361436,attack_minimum_added_fire_damage_with_daggers|attack_maximum_added_fire_damage_with_daggers,reproduced,,6,ModJewelAbyss,AbyssAddedFireDamageWithDaggersJewel1,(5-6) to (11-12) Added Fire Damage with Dagger Attacks,1910361436,explicit fractured,{0} to {1} Added Fire Damage with Dagger Attacks
1911037487,keystone_corrupted_defences,reproduced,,3,ModItemExclusive,KeystoneCorruptedSoulUnique_1,Corrupted Soul,1911037487,explicit implicit,Corrupted Soul
1911162866,local_affliction_notable_drive_the_destruction,reproduced,,1,ModJewelCluster,AfflictionNotableDrivetheDestruction__,1 Added Passive Skill is Drive the Destruction,1911162866,explicit fractured,1 Added Passive Skill is Drive the Destruction
1911822529,minimum_added_fire_damage_to_attacks_per_1%_light_radius|maximum_added_fire_damage_to_attacks_per_1%_light_radius,reproduced,,1,ModItemExclusive,AddedFireDamageFromLightRadiusUnique__1,Adds 2 to 5 Fire Damage to Attacks for every 1% your Light Radius is above base value,1911822529,explicit,Adds {0} to {1} Fire Damage to Attacks for every 1% your Light Radius is above base value
1912660783,energy_shield_delay_during_flask_effect_-%,reproduced,,1,ModItemExclusive,EnergyShieldDelayDuringFlaskEffect__1,50% slower start of Energy Shield Recharge during any Flask Effect,1912660783,explicit,{0}% faster start of Energy Shield Recharge during any Flask Effect
1915414884,chance_to_gain_skill_cost_as_mana_when_paid_%,reproduced,,3,ModItemExclusive,GainManaOnManaPaidManaCost1,(25-30)% chance when you pay a Skill's Cost to gain that much Mana,1915414884,implicit,{0}% chance when you pay a Skill's Cost to gain that much Mana
1915592358,melee_weapon_range_+_while_at_maximum_frenzy_charges,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,MeleeWeaponRangeAtMaximumFrenzyChargesUber1_,+0.3 metres to Melee Strike Range while at Maximum Frenzy Charges,,not in capture,
1915836277,soul_eater_maximum_stacks_+,reproduced,,1,ModItemExclusive,SoulEaterStackCountUnique__1,+(-10-10) to maximum number of Eaten Souls,1915836277,explicit,{0} to maximum number of Eaten Souls
1916537902,ailment_types_apply_enemy_chance_to_deal_double_damage_%_against_self,reproduced,,2,ModExplicit,AilmentDoubleDamageEssence1,1% chance to deal Double Damage against Enemies for each type of Ailment you have inflicted on them,1916537902,explicit fractured,{0}% chance to deal Double Damage against Enemies for each type of Ailment you have inflicted on them
1916706958,avoid_interruption_while_casting_%,reproduced,,17,ModDelve,DelveJewelAvoidInterruptionWhileCasting1,(15-20)% chance to Ignore Stuns while Casting,1916706958,explicit fractured implicit,{0}% chance to Ignore Stuns while Casting
1916904011,local_left_ring_slot_minion_damage_taken_+%,reproduced,,1,ModItemExclusive,ReflectedMinionDamageTakenImplicitK3,Left ring slot: Minions take 15% reduced Damage,1916904011,implicit,Left ring slot: Minions take {0}% increased Damage
1917107159,minimum_added_lightning_damage_per_power_charge|maximum_added_lightning_damage_per_power_charge,reproduced,,4,ModExplicit,AddedLightningDamagePerPowerChargeInfluence1__,1 to (6-8) Lightning Damage per Power Charge,1917107159,explicit fractured,{0} to {1} Lightning Damage per Power Charge
1917124426,base_cold_damage_can_poison,reproduced,,2,ModItemExclusive,ColdDamageCanPoisonUnique__1_,Your Cold Damage can Poison,1917124426,explicit implicit,Your Cold Damage can Poison
1917661185,number_of_additional_mines_to_place_with_at_least_500_dex,reproduced,,2,ModItemExclusive,PlaceAdditionalMineWith600DexterityUnique__1,Skills which throw Mines throw up to 1 additional Mine if you have at least 800 Dexterity,1917661185,explicit implicit,Skills which throw Mines throw up to 1 additional Mine if you have at least 800 Dexterity
1917910910,two_handed_melee_attack_speed_+%,reproduced,,1,ModJewel,TwoHandedMeleeAttackSpeedJewel,(4-6)% increased Attack Speed with Two Handed Melee Weapons,1917910910,explicit fractured,{0}% increased Attack Speed with Two Handed Melee Weapons
1918718830,local_all_sockets_are_red,reproduced,,16,ModItemExclusive,WeaponEnchantmentHeistPhysicalEffectOnlyRedSockets1,All Sockets are Red,1918718830,enchant,All Sockets are Red
1919087214,zombie_damage_leeched_as_energy_shield_to_you_permyriad_if_over_1000_intelligence,reproduced,,1,ModFoulborn,MutatedUniqueHelmetStr6ZombiesLeechEnergyShieldToYouAt1000Intelligence,"With at least 1000 Intelligence, (1.5-2)% of Damage dealt by your Raised Zombies is Leeched to you as Energy Shield",1919087214,explicit,"With at least 1000 Intelligence, {0}% of Damage dealt by your Raised Zombies is Leeched to you as Energy Shield"
1919892065,enemies_you_intimidate_have_stun_duration_on_self_+%,reproduced,,1,ModJewelAbyss,AbyssIntimidatedEnemiesStunDurationJewel1,Enemies Intimidated by you have (10-15)% increased duration of stuns against them,1919892065,enchant explicit fractured,Enemies Intimidated by you have {0}% increased duration of stuns against them
1920234902,fire_damage_taken_per_minute_per_endurance_charge_if_you_have_been_hit_recently,reproduced,,1,ModItemExclusive,DamageTakenPerEnduranceChargeWhenHitUnique__1_,200 Fire Damage taken per second per Endurance Charge if you've been Hit Recently,1920234902,explicit,{0} Fire Damage taken per second per Endurance Charge if you've been Hit Recently
1920370417,hatred_mana_reservation_efficiency_-2%_per_1,reproduced,export text join ambiguous; the hash picks one,2,ModExplicit,HatredReducedReservationInfluence1_,Hatred has (40-50)% increased Mana Reservation Efficiency,1920370417 2156140483,enchant explicit,Hatred has {0}% reduced Mana Reservation Efficiency
1921572790,attack_speed_+%_when_on_low_life,reproduced,,4,ModFoulborn,MutatedUniqueRing9IncreasedAttackSpeedWhenOnLowLife,(12-16)% increased Attack Speed when on Low Life,1921572790,explicit,{0}% increased Attack Speed when on Low Life
1922061483,evasion_rating_plus_in_sand_stance,reproduced,,1,ModItemExclusive,EvasionRatingSandStanceUnique__1,+(700-1000) to Evasion Rating while in Sand Stance,1922061483,explicit,+{0} to Evasion Rating while in Sand Stance
1923210508,projectile_damage_+%_per_chain,reproduced,,1,ModCorrupted,V2IncreasedProjectileDamageForEachChainCorrupted,Projectiles deal (20-25)% increased Damage with Hits and Ailments for each time they have Chained,1923210508,implicit,Projectiles deal {0}% increased Damage with Hits and Ailments for each time they have Chained
1924041432,projectile_non_chaos_damage_to_add_as_chaos_damage_%_per_chain,reproduced,,1,ModItemExclusive,ProjectilesGainPercentOfNonChaosAsChaosUnique__1,Projectiles gain (15-20)% of Non-Chaos Damage as extra Chaos Damage per Chain,1924041432,explicit,Projectiles gain {0}% of Non-Chaos Damage as extra Chaos Damage per Chain
1924591908,chance_to_grant_nearby_enemies_onslaught_on_kill_%,reproduced,,1,ModItemExclusive,GrantEnemiesOnslaughtOnKillUnique__1,5% chance to grant Onslaught to nearby Enemies on Kill,1924591908,explicit,{0}% chance to grant Onslaught to nearby Enemies on Kill
1925110785,restore_ward_on_hit_%,reproduced,,1,ModItemExclusive,VillageWardRestoreChance,(5-10)% chance to Restore your Ward on Hit,1925110785,enchant,{0}% chance to Restore your Ward on Hit
1925222248,you_cannot_inflict_curses,reproduced,,1,ModScourge,HellscapeDownsideCannotCurse,Cannot inflict Curses,1925222248,scourge,Cannot inflict Curses
1925643497,create_sand_mirage_on_contact_for_damaging_non_channel_spells,reproduced,,1,ModItemExclusive,SandMirageOnCastUnique__1,Trigger level 20 Suspend in Time on Casting a Spell,1925643497,explicit,Trigger level 20 Suspend in Time on Casting a Spell
1926135629,local_affliction_jewel_small_nodes_grant_base_critical_strike_multiplier_+,reproduced,,3,ModJewelCluster,AfflictionJewelSmallPassivesGrantCriticalStrikeMultiplier,Added Small Passive Skills also grant: +1% to Critical Strike Multiplier,1926135629,explicit fractured,Added Small Passive Skills also grant: {0}% to Critical Strike Multiplier
1926816773,recover_%_maximum_life_on_mana_flask_use,reproduced,,1,ModItemExclusive,RecoverLifeInstantlyOnManaFlaskUnique__1,Recover (8-10)% of Life when you use a Mana Flask,1926816773,explicit,Recover {0}% of Life when you use a Mana Flask
1932583315,flask_duration_on_minions_+%,reproduced,,1,ModItemExclusive,MinionFlaskDurationUnique__1,Minions have (50-80)% increased Flask Effect Duration,1932583315,explicit,Minions have {0}% increased Flask Effect Duration
1935500672,local_flask_is_petrified,reproduced,,1,ModItemExclusive,LocalFlaskPetrifiedUnique__1,Petrified during Effect,1935500672,explicit,Petrified during Effect
1936135020,local_affliction_notable_victim_maker,reproduced,,1,ModJewelCluster,AfflictionNotableVictimMaker,1 Added Passive Skill is Victim Maker,1936135020,explicit fractured,1 Added Passive Skill is Victim Maker
1936441365,local_display_socketed_skills_summon_your_maximum_number_of_totems_in_formation,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,SummonMaximumNumberOfSocketedTotemsUnique_1,Socketed Skills Summon your maximum number of Totems in formation,,not in capture,
1936544447,gain_power_charge_when_throwing_trap_%,reproduced,,2,ModItemExclusive,PowerChargeOnTrapThrowChanceUniqueShieldDexInt1,25% chance to gain a Power Charge when you Throw a Trap,1936544447,explicit implicit,{0}% chance to gain a Power Charge when you Throw a Trap
1937473464,base_enemy_extra_damage_rolls,reproduced,,1,ModFoulborn,MutatedUniqueAmulet41EnemyExtraDamageRolls,Damage of Enemies Hitting you is Unlucky,1937473464,explicit,Damage of Enemies Hitting you is Lucky
1938324031,local_socketed_magic_searching_jewel_effect_+%,reproduced,,1,ModExplicit,MagicSearchingJewelEffect,(75-100)% increased Effect of Socketed Magic Searching Eye Jewels,1938324031,explicit fractured,{0}% increased Effect of Socketed Magic Searching Eye Jewels
1938661964,local_affliction_notable_wind_up,reproduced,,1,ModJewelCluster,AfflictionNotableWindup_,1 Added Passive Skill is Wind-up,1938661964,explicit fractured,1 Added Passive Skill is Wind-up
1939175721,shrine_buff_effect_on_self_+%,reproduced,,16,ModItemExclusive,SoulcordDiamondShrineUnique_1,,1939175721,explicit implicit,{0}% increased Effect of Shrine Buffs on you
1939202111,critical_strike_chance_+%_vs_blinded_enemies,reproduced,,3,ModExplicit,CriticalChanceAgainstBlindedEnemiesUber1_,(80-100)% increased Critical Strike Chance against Blinded Enemies,1939202111,explicit fractured,{0}% increased Critical Strike Chance against Blinded Enemies
