# generated by scripts/census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
array,template,items,lines,kinds,flags,example
explicitMods,"If The Searing Exarch is dominant, remove a prefix modifier\nIf The Eater of Worlds is dominant, remove a suffix modifier",2,2,object:2,,"If The Searing Exarch is dominant, remove a prefix modifier\nIf The Eater of Worlds is dominant, re"
explicitMods,"If you've Warcried Recently, you and nearby allies have #% increased Attack, Cast and Movement Speed",2,2,object:2,,"If you've Warcried Recently, you and nearby allies have 20% increased Attack, Cast and Movement Spee"
explicitMods,"Igniting Enemies creates Burning Ground, no more than once per second\nBurning Ground deals #% of Fire Damage per second of inflicted Ignite",2,2,object:2,,"Igniting Enemies creates Burning Ground, no more than once per second\nBurning Ground deals 65% of F"
explicitMods,Ignore Stuns while Casting,2,2,object:2,,Ignore Stuns while Casting
explicitMods,Imbalanced Guard,2,2,object:2,,Imbalanced Guard
explicitMods,"Immune to Burning Ground, Shocked Ground and Chilled Ground",2,2,object:2,,"Immune to Burning Ground, Shocked Ground and Chilled Ground"
explicitMods,Immune to Freeze while affected by Purity of Ice,2,2,object:2,,Immune to Freeze while affected by Purity of Ice
explicitMods,Impale Damage dealt to Enemies Impaled by you Overwhelms #% Physical Damage Reduction,2,2,object:2,,Impale Damage dealt to Enemies Impaled by you Overwhelms 10% Physical Damage Reduction
explicitMods,Implicit Modifier magnitudes are doubled,2,2,object:2,,Implicit Modifier magnitudes are doubled
explicitMods,Imprisoned Monsters released in Areas grant a random Essence Modifier to another Imprisoned Monster in the Area\nImprisoned Monsters in Areas have increased Difficulty and Reward for\neach Essence Modifier,2,2,object:1;string:1,,Imprisoned Monsters released in Areas grant a random Essence Modifier to another Imprisoned Monster
explicitMods,"Improves the quality of a map enhancing Divination Cards found\nReplaces other quality types",2,2,object:2,,"Improves the quality of a map enhancing Divination Cards found\nReplaces other quality types"
explicitMods,"Improves the quality of a map enhancing Scarabs found\nReplaces other quality types",2,2,object:2,,"Improves the quality of a map enhancing Scarabs found\nReplaces other quality types"
explicitMods,Incendiary Mite,2,2,object:2,,Incendiary Mite
explicitMods,Insufficient Mana doesn't prevent your Bow Attacks,2,2,object:2,mutated=True:2,Insufficient Mana doesn't prevent your Bow Attacks
explicitMods,Items and Gems have #% increased Attribute Requirements,2,2,object:2,,Items and Gems have 10% increased Attribute Requirements
explicitMods,Left ring slot: Projectiles from Spells Fork,2,2,object:2,,Left ring slot: Projectiles from Spells Fork
explicitMods,Left ring slot: Projectiles from Spells cannot Chain,2,2,object:2,,Left ring slot: Projectiles from Spells cannot Chain
explicitMods,Light Radius is based on Energy Shield instead of Life,2,2,object:2,,Light Radius is based on Energy Shield instead of Life
explicitMods,Linked Targets always count as in range of Non-Curse Auras from your Skills\nNon-Curse Auras from your Skills only apply to you and Linked Targets,2,2,object:2,,Linked Targets always count as in range of Non-Curse Auras from your Skills\nNon-Curse Auras from yo
explicitMods,Logbooks found in Area always have # Implicits\nExpedition Monsters gain increased Difficulty and Reward for each Remnant detonated,2,2,object:1;string:1,,Logbooks found in Area always have 4 Implicits\nExpedition Monsters gain increased Difficulty and Re
explicitMods,Lose # Life per Enemy Killed,2,2,object:2,,Lose 17 Life per Enemy Killed
explicitMods,Lose #% of Energy Shield on Kill,2,2,object:2,,Lose 1% of Energy Shield on Kill
explicitMods,Lose #% of Life on Kill,2,2,object:2,,Lose 1% of Life on Kill
explicitMods,Lose #% of Mana per Second,2,2,object:2,,Lose 7% of Mana per Second
explicitMods,Lose all Fragile Regrowth when Hit,2,2,object:2,,Lose all Fragile Regrowth when Hit
explicitMods,Lose all Frenzy Charges on reaching Maximum Frenzy Charges to make the next Bow Attack you perform fire that many additional Arrows,2,2,object:2,,Lose all Frenzy Charges on reaching Maximum Frenzy Charges to make the next Bow Attack you perform f
explicitMods,Malevolence has #% increased Aura Effect,2,2,object:2,,Malevolence has 28% increased Aura Effect
explicitMods,Map Boss is accompanied by a Synthesis Boss,2,2,object:2,,Map Boss is accompanied by a Synthesis Boss
explicitMods,Maximum # Fragile Regrowth,2,2,object:2,,Maximum 10 Fragile Regrowth
explicitMods,Maximum # Somatic Shells,2,2,object:2,,Maximum 7 Somatic Shells
explicitMods,Maximum Absorption Charges is equal to Maximum Power Charges,2,2,object:2,,Maximum Absorption Charges is equal to Maximum Power Charges
explicitMods,Melee Hits which Stun have #% chance to Fortify,2,2,object:2,,Melee Hits which Stun have 12% chance to Fortify
explicitMods,Melee Hits with Strike Skills always Knockback,2,2,object:2,,Melee Hits with Strike Skills always Knockback
explicitMods,Mines from Supported Skills can't be Detonated while within # metres of you,2,2,object:2,,Mines from Supported Skills can't be Detonated while within 3 metres of you
explicitMods,Mines using Supported Skills always target your location,2,2,object:2,,Mines using Supported Skills always target your location
explicitMods,Minions Convert #% of their Maximum Life to Maximum Energy\nShield per #% Chaos Resistance they have,2,2,object:2,,Minions Convert 2% of their Maximum Life to Maximum Energy\nShield per 1% Chaos Resistance they have
explicitMods,Minions Leech #% of Damage as Life,2,2,object:2,,Minions Leech 0.43% of Damage as Life
explicitMods,Minions convert #% of Fire Damage to Chaos Damage,2,2,object:2,,Minions convert 100% of Fire Damage to Chaos Damage
explicitMods,Minions have #% chance to cause Bleeding with Attacks,2,2,object:2,,Minions have 11% chance to cause Bleeding with Attacks
explicitMods,Minions have #% chance to inflict Withered on Hit,2,2,object:2,,Minions have 60% chance to inflict Withered on Hit
explicitMods,Minions have #% faster start of Energy Shield Recharge,2,2,object:2,,Minions have 78% faster start of Energy Shield Recharge
explicitMods,Minions have #% increased Flask Effect Duration,2,2,object:2,,Minions have 51% increased Flask Effect Duration
explicitMods,Minions have #% reduced Flask Charges used,2,2,object:2,,Minions have 32% reduced Flask Charges used
explicitMods,"Minions have #% to Damage over Time Multiplier per\nGhastly Eye Jewel affecting you, up to a maximum of #%",2,2,object:2,,"Minions have +6% to Damage over Time Multiplier per\nGhastly Eye Jewel affecting you, up to a maximu"
explicitMods,Minions' Hits are always Critical Strikes,2,2,object:2,,Minions' Hits are always Critical Strikes
explicitMods,Modifiers to Chance to Avoid being Shocked apply to all Elemental Ailments,2,2,object:2,,Modifiers to Chance to Avoid being Shocked apply to all Elemental Ailments
explicitMods,Modifiers to Chance to Suppress Spell Damage also apply to Chance to Avoid Elemental Ailments at #% of their Value,2,2,object:2,,Modifiers to Chance to Suppress Spell Damage also apply to Chance to Avoid Elemental Ailments at 50%
explicitMods,Modifiers to Minimum Power Charges instead apply to Minimum Absorption Charges,2,2,object:2,,Modifiers to Minimum Power Charges instead apply to Minimum Absorption Charges
explicitMods,Modifiers to number of Projectiles instead apply to the number of times this Skill Chains,2,2,object:2,,Modifiers to number of Projectiles instead apply to the number of times this Skill Chains
explicitMods,Modifies a Map item adding layers of Delirium with the Abyss Items reward type,2,2,object:2,,Modifies a Map item adding layers of Delirium with the Abyss Items reward type
explicitMods,Modifies a Map item adding layers of Delirium with the Divination Cards reward type,2,2,object:2,,Modifies a Map item adding layers of Delirium with the Divination Cards reward type
explicitMods,Modifies a Map item adding layers of Delirium with the Fragments reward type,2,2,object:2,,Modifies a Map item adding layers of Delirium with the Fragments reward type
explicitMods,Modifies a Map item adding layers of Delirium with the Scarabs reward type,2,2,object:2,,Modifies a Map item adding layers of Delirium with the Scarabs reward type
explicitMods,Modifies a Map item adding layers of Delirium with the Ultimatum reward type,2,2,object:2,,Modifies a Map item adding layers of Delirium with the Ultimatum reward type
explicitMods,Modifies a Map item adding layers of Delirium with the Unique Items reward type,2,2,object:2,,Modifies a Map item adding layers of Delirium with the Unique Items reward type
explicitMods,"Modifies a Memory Influenced Map, causing items found to\nhave more Memory Strands, but fewer items drop",2,2,object:2,,"Modifies a Memory Influenced Map, causing items found to\nhave more Memory Strands, but fewer items"
explicitMods,Monsters guarding Ore Deposits have increased Difficulty and\nReward and Ore Deposits contain #% increased Ore\nfor each Ore Deposit completed in Area ,2,2,object:2,,Monsters guarding Ore Deposits have increased Difficulty and\nReward and Ore Deposits contain 15% in
explicitMods,Monsters' Projectiles can Chain when colliding with Terrain,2,2,object:2,,Monsters' Projectiles can Chain when colliding with Terrain
explicitMods,"More Attribute modifiers\nNo Critical modifiers",2,2,object:2,,"More Attribute modifiers\nNo Critical modifiers"
explicitMods,"More Caster modifiers\nFewer Attack modifiers",2,2,object:2,,"More Caster modifiers\nFewer Attack modifiers"
explicitMods,"More Cold modifiers\nNo Fire modifiers",2,2,object:2,,"More Cold modifiers\nNo Fire modifiers"
explicitMods,"More Critical modifiers\nNo Attribute modifiers",2,2,object:2,,"More Critical modifiers\nNo Attribute modifiers"
explicitMods,"More Elemental modifiers\nNo Physical Ailment or Chaos Ailment modifiers",2,2,object:2,,"More Elemental modifiers\nNo Physical Ailment or Chaos Ailment modifiers"
explicitMods,"More Lightning modifiers\nNo Physical modifiers",2,2,object:2,,"More Lightning modifiers\nNo Physical modifiers"
explicitMods,"More Mana modifiers\nNo Speed modifiers",2,2,object:2,,"More Mana modifiers\nNo Speed modifiers"
explicitMods,"More Physical Ailment or Chaos Ailment modifiers\nNo Elemental modifiers",2,2,object:2,,"More Physical Ailment or Chaos Ailment modifiers\nNo Elemental modifiers"
explicitMods,"More Physical modifiers\nNo Chaos modifiers",2,2,object:2,,"More Physical modifiers\nNo Chaos modifiers"
explicitMods,Nearby Allies' Action Speed cannot be modified to below Base Value,2,2,object:2,,Nearby Allies' Action Speed cannot be modified to below Base Value
explicitMods,Nearby Enemies Convert #% of their Physical Damage to Fire,2,2,object:2,,Nearby Enemies Convert 25% of their Physical Damage to Fire
explicitMods,Nearby Enemies cannot deal Critical Strikes,2,2,object:2,,Nearby Enemies cannot deal Critical Strikes
explicitMods,Nearby Enemies take #% increased Physical Damage per two Fortification on you,2,2,object:2,,Nearby Enemies take 1% increased Physical Damage per two Fortification on you
explicitMods,"No Resolve Mitigation, chance to Avoid Resolve loss or Resolve Aegis",2,2,object:2,,"No Resolve Mitigation, chance to Avoid Resolve loss or Resolve Aegis"
explicitMods,Non-Unique Utility Flasks you Use apply to Linked Targets,2,2,object:2,,Non-Unique Utility Flasks you Use apply to Linked Targets
explicitMods,Non-Vaal Strike Skills target # additional nearby Enemy,2,2,object:2,,Non-Vaal Strike Skills target 1 additional nearby Enemy
explicitMods,Non-instant Mana Recovery from Flasks is also Recovered as Life,2,2,object:2,,Non-instant Mana Recovery from Flasks is also Recovered as Life
explicitMods,Notable Passive Skills in Radius are Transformed to\ninstead grant: #% increased Mana Cost of Skills and #% increased Spell Damage,2,2,object:2,,Notable Passive Skills in Radius are Transformed to\ninstead grant: 10% increased Mana Cost of Skill
explicitMods,Notable Passive Skills in Radius are Transformed to\ninstead grant: Minions have #% reduced Movement Speed,2,2,object:2,,Notable Passive Skills in Radius are Transformed to\ninstead grant: Minions have 25% reduced Movemen
explicitMods,Notable Passive Skills in Radius grant nothing,2,2,object:2,,Notable Passive Skills in Radius grant nothing
explicitMods,One Handed Weapon: (#-#)% increased Spell Critical Strike Chance,2,2,object:2,,One Handed Weapon: (110-119)% increased Spell Critical Strike Chance
explicitMods,Only affects Passives in Very Large Ring,2,2,object:2,,Only affects Passives in Very Large Ring
explicitMods,Other Jewellery: Adds # to (#-#) Lightning Damage to Attacks,2,2,object:2,,Other Jewellery: Adds 1 to (14-15) Lightning Damage to Attacks
explicitMods,Passive Skills in Radius also grant: #% increased Unarmed Attack Speed with Melee Skills,2,2,object:2,,Passive Skills in Radius also grant: 1% increased Unarmed Attack Speed with Melee Skills
explicitMods,Passives granting Cold Resistance or all Elemental Resistances in Radius\nalso grant Chance to Suppress Spell Damage at #% of its value,2,2,object:2,,Passives granting Cold Resistance or all Elemental Resistances in Radius\nalso grant Chance to Suppr
explicitMods,Penetrate #% Elemental Resistances per Abyss Jewel affecting you,2,2,object:2,,Penetrate 4% Elemental Resistances per Abyss Jewel affecting you
explicitMods,Players and their Minions Regenerate #% of Life per second,2,2,object:2,,Players and their Minions Regenerate 0.87% of Life per second
explicitMods,Players and their Minions have #% increased Mana Regeneration Rate,2,2,object:2,,Players and their Minions have 23% increased Mana Regeneration Rate
explicitMods,Players have #% less effect of Flasks applied to them,2,2,object:2,,Players have 40% less effect of Flasks applied to them
explicitMods,Projectile Attack Skills have #% increased Critical Strike Chance,2,2,object:2,,Projectile Attack Skills have 58% increased Critical Strike Chance
explicitMods,Projectiles Pierce all Burning Enemies,2,2,object:2,,Projectiles Pierce all Burning Enemies
explicitMods,Projectiles can Chain when impacting the ground\nProjectiles Chain in random directions,2,2,object:2,,Projectiles can Chain when impacting the ground\nProjectiles Chain in random directions
explicitMods,Projectiles can Split from hitting terrain,2,2,object:2,,Projectiles can Split from hitting terrain
explicitMods,Projectiles fired from explosion can apply no more than # new Shell,2,2,object:2,,Projectiles fired from explosion can apply no more than 1 new Shell
explicitMods,Projectiles from Spells cannot Pierce,2,2,object:2,,Projectiles from Spells cannot Pierce
explicitMods,Projectiles from Supported Skills Fork,2,2,object:2,,Projectiles from Supported Skills Fork
explicitMods,Quiver: #% increased Effect of your Marks,2,2,object:2,,Quiver: 25% increased Effect of your Marks
explicitMods,Quiver: Adds # to (#-#) Lightning Damage to Attacks,2,2,object:2,,Quiver: Adds 2 to (16-18) Lightning Damage to Attacks
explicitMods,Raised Spectres have #% increased Critical Strike Chance,2,2,object:2,,Raised Spectres have 851% increased Critical Strike Chance
explicitMods,Raised Spectres have a Base Duration of # seconds\nSpectres do not travel between Areas,2,2,object:2,,Raised Spectres have a Base Duration of 20 seconds\nSpectres do not travel between Areas
explicitMods,Randomises the quality of a corrupted weapon,2,2,object:2,,Randomises the quality of a corrupted weapon
explicitMods,Rare Monsters each have # additional Modifier,2,2,object:2,,Rare Monsters each have 1 additional Modifier
explicitMods,Rare monsters in area are Shaper-Touched,2,2,object:2,,Rare monsters in area are Shaper-Touched
explicitMods,Rare monsters that are natural inhabitants of the Area are imprisoned by Essences,2,2,object:1;string:1,,Rare monsters that are natural inhabitants of the Area are imprisoned by Essences
explicitMods,Recover #% of Energy Shield on Kill,2,2,object:2,,Recover 4% of Energy Shield on Kill
explicitMods,Recover #% of Energy Shield when you Block,2,2,object:2,,Recover 5% of Energy Shield when you Block
explicitMods,Recover #% of Life when you use a Mana Flask,2,2,object:2,,Recover 9% of Life when you use a Mana Flask
explicitMods,Reforges a rare item with new random modifiers including a random Veiled modifier,2,2,object:2,,Reforges a rare item with new random modifiers including a random Veiled modifier
explicitMods,Regenerate # Life per second while moving,2,2,object:2,,Regenerate 100 Life per second while moving
explicitMods,Regenerate #% Life over one second when Hit while Sane,2,2,object:2,,Regenerate 10% Life over one second when Hit while Sane
explicitMods,Regenerate #% of Life per second for each different Ailment affecting you,2,2,object:2,,Regenerate 2% of Life per second for each different Ailment affecting you
explicitMods,Regenerate #% of Life per second per Endurance Charge,2,2,object:2,,Regenerate 0.4% of Life per second per Endurance Charge
explicitMods,Remove Shock when you use a Flask,2,2,object:2,,Remove Shock when you use a Flask
explicitMods,"Removes one Influenced Modifier from an item with at least two Influenced\nModifiers and upgrades another Influenced Modifier\nUpgrading a modifier of the highest tier transforms the\nmodifier into an Elevated Modifier\nAttempting to upgrade an Elevated Modifier rerolls its values\nCan be used on Body Armours, Boots, Gloves and Helmets",2,2,object:2,,"Removes one Influenced Modifier from an item with at least two Influenced\nModifiers and upgrades a"
explicitMods,Restores an Afarud Unique item to its past Maraketh form,2,2,object:2,,Restores an Afarud Unique item to its past Maraketh form
explicitMods,Right ring slot: Projectiles from Spells Chain # times,2,2,object:2,,Right ring slot: Projectiles from Spells Chain +1 times
explicitMods,Right ring slot: Projectiles from Spells cannot Fork,2,2,object:2,,Right ring slot: Projectiles from Spells cannot Fork
explicitMods,Ring always Shocks,2,2,object:2,,Ring always Shocks
explicitMods,Ring: (#-#)% to Damage over Time Multiplier,2,2,object:2,,Ring: (12-15)% to Damage over Time Multiplier
explicitMods,Rituals in Area contain an additional Rare Itemised Corpse Monster,2,2,object:2,,Rituals in Area contain an additional Rare Itemised Corpse Monster
explicitMods,Ruin,2,2,object:2,,Ruin
explicitMods,Ruin III,2,2,object:2,,Ruin III
explicitMods,Sacrifice #% of your Life when you Use or Trigger a Spell Skill,2,2,object:2,,Sacrifice 10% of your Life when you Use or Trigger a Spell Skill
explicitMods,Shell cannot be reapplied to same target for # seconds after explosion,2,2,object:2,,Shell cannot be reapplied to same target for 0.2 seconds after explosion
explicitMods,Shield: #% Chance to Block Spell Damage while on Low Life,2,2,object:2,,Shield: +15% Chance to Block Spell Damage while on Low Life
explicitMods,Shock Reflection,2,2,object:2,,Shock Reflection
explicitMods,Shocks you inflict spread to other Enemies within # metres,2,2,object:2,,Shocks you inflict spread to other Enemies within 1.5 metres
explicitMods,Shrines in Area are guarded by an Atlas Boss\nModifiers to the Final Map Boss also apply to these Atlas Bosses,2,2,object:1;string:1,,Shrines in Area are guarded by an Atlas Boss\nModifiers to the Final Map Boss also apply to these At
explicitMods,Skills Cost Energy Shield instead of Mana or Life,2,2,object:2,,Skills Cost Energy Shield instead of Mana or Life
explicitMods,Smuggler's Caches in your Maps have #% increased chance to drop Blueprints,2,2,object:2,,Smuggler's Caches in your Maps have 35% increased chance to drop Blueprints
explicitMods,Socketed Gems are Supported by Level # Brutality,2,2,object:2,,Socketed Gems are Supported by Level 16 Brutality
explicitMods,Socketed Gems are Supported by Level # Controlled Destruction,2,2,object:2,,Socketed Gems are Supported by Level 10 Controlled Destruction
explicitMods,Socketed Gems are Supported by Level # Endurance Charge on Melee Stun,2,2,object:2,,Socketed Gems are Supported by Level 20 Endurance Charge on Melee Stun
explicitMods,Socketed Gems are Supported by Level # Greater Volley,2,2,object:2,,Socketed Gems are Supported by Level 20 Greater Volley
explicitMods,Socketed Gems are Supported by Level # Iron Will,2,2,object:2,,Socketed Gems are Supported by Level 30 Iron Will
explicitMods,Socketed Gems are Supported by Level # Mana Leech,2,2,object:2,,Socketed Gems are Supported by Level 15 Mana Leech
explicitMods,Socketed Gems are supported by Level # Faster Projectiles,2,2,object:2,,Socketed Gems are supported by Level 20 Faster Projectiles
explicitMods,Socketed Gems deal #% more Damage over Time,2,2,object:2,,Socketed Gems deal 30% more Damage over Time
explicitMods,Socketed Golem Skills have #% chance to Taunt on Hit,2,2,object:2,,Socketed Golem Skills have 25% chance to Taunt on Hit
explicitMods,Socketed Golem Skills have #% increased Attack and Cast Speed,2,2,object:2,,Socketed Golem Skills have 20% increased Attack and Cast Speed
explicitMods,Socketed Golem Skills have Minions Regenerate #% of Life per second,2,2,object:2,,Socketed Golem Skills have Minions Regenerate 5% of Life per second
explicitMods,Socketed Melee Gems have #% increased Area of Effect,2,2,object:2,,Socketed Melee Gems have 15% increased Area of Effect
explicitMods,Socketed Skills deal Double Damage,2,2,object:2,,Socketed Skills deal Double Damage
explicitMods,Socketed Slam Gems are Supported by Level # Earthbreaker,2,2,object:2,,Socketed Slam Gems are Supported by Level 25 Earthbreaker
explicitMods,Strength's Damage bonus applies to Projectile Attack Damage as well for Supported Skills,2,2,object:2,,Strength's Damage bonus applies to Projectile Attack Damage as well for Supported Skills
explicitMods,Substitutes Monster Packs in Area\nPack Monster Equipment Drops are converted to Gold,2,2,object:2,,Substitutes Monster Packs in Area\nPack Monster Equipment Drops are converted to Gold
explicitMods,"Substitutes Monster Packs in Area\nPack Monsters do not drop items\nPack Monsters grant increased Item Rarity when slain, up to\n#%, decaying over time",2,2,object:2,,Substitutes Monster Packs in Area\nPack Monsters do not drop items\nPack Monsters grant increased It
explicitMods,Summoned Holy Relics have #% reduced Cooldown Recovery Rate,2,2,object:2,,Summoned Holy Relics have 22% reduced Cooldown Recovery Rate
explicitMods,Summoned Skeleton Warriors are Permanent and Follow you\nSummon Skeletons cannot Summon more than # Skeleton Warrior,2,2,object:2,,Summoned Skeleton Warriors are Permanent and Follow you\nSummon Skeletons cannot Summon more than 1
explicitMods,"Supported Area of Effect Skills also affect areas in front of, behind,\nand on each side of the targeted area",2,2,object:2,,"Supported Area of Effect Skills also affect areas in front of, behind,\nand on each side of the targ"
explicitMods,Supported Attacks have #% of Damage Leeched as Mana,2,2,object:2,,Supported Attacks have 3.9% of Damage Leeched as Mana
explicitMods,Supported Skills Shock Enemies as though dealing #% more Damage,2,2,object:2,,Supported Skills Shock Enemies as though dealing 500% more Damage
explicitMods,Supported Skills deal #% increased Damage while Leeching Energy Shield,2,2,object:2,,Supported Skills deal 16% increased Damage while Leeching Energy Shield
explicitMods,Supported Skills deal #% increased Damage while Leeching Mana,2,2,object:2,,Supported Skills deal 5% increased Damage while Leeching Mana
explicitMods,Supported Skills fire #% less Projectiles,2,2,object:2,,Supported Skills fire 30% less Projectiles
explicitMods,Supported Skills have #% chance to double Stun Duration,2,2,object:2,,Supported Skills have 11% chance to double Stun Duration
explicitMods,Supported Skills have #% chance to inflict Lightning Exposure on Hit,2,2,object:2,,Supported Skills have 10% chance to inflict Lightning Exposure on Hit
explicitMods,Supported Skills have #% increased Shock Duration on Enemies,2,2,object:2,,Supported Skills have 16% increased Shock Duration on Enemies
explicitMods,Supported Skills have #% increased Warcry Speed,2,2,object:2,,Supported Skills have 68% increased Warcry Speed
explicitMods,Supported Skills throw Mines in an Arc,2,2,object:2,,Supported Skills throw Mines in an Arc
explicitMods,Supported Skills will Trigger Prismatic Burst on Hit,2,2,object:2,,Supported Skills will Trigger Prismatic Burst on Hit
explicitMods,Supported Spells Sacrifice #% of your current Life when Cast to gain added Chaos Damage equal to #% of Sacrificed Life,2,2,object:2,,Supported Spells Sacrifice 20% of your current Life when Cast to gain added Chaos Damage equal to 53
explicitMods,Take # Fire Damage when you Ignite an Enemy,2,2,object:2,,Take 100 Fire Damage when you Ignite an Enemy
explicitMods,Take # Fire Damage when you Use a Skill,2,2,object:2,,Take 397 Fire Damage when you Use a Skill
explicitMods,Take no Burning Damage if you've stopped taking Burning Damage Recently,2,2,object:2,,Take no Burning Damage if you've stopped taking Burning Damage Recently
explicitMods,Temporal Chains has no Reservation if Cast as an Aura,2,2,object:2,,Temporal Chains has no Reservation if Cast as an Aura
explicitMods,"The Absence of Mercy and Empathy is level #\nThe Maven's full power is unleashed in The Absence of Mercy and Empathy",2,2,object:1;string:1,,"The Absence of Mercy and Empathy is level 85\nThe Maven's full power is unleashed in The Absence of"
explicitMods,"The Cortex is level #\nVenarius' full power is unleashed in the Cortex",2,2,object:1;string:1,,"The Cortex is level 85\nVenarius' full power is unleashed in the Cortex"
explicitMods,"The Eye of the Storm is level #\nSirus' full power is unleashed in The Eye of the Storm",2,2,object:1;string:1,,"The Eye of the Storm is level 85\nSirus' full power is unleashed in The Eye of the Storm"
explicitMods,The Herald of the Scourge drops an additional Forbidden Tome,2,2,object:2,,The Herald of the Scourge drops an additional Forbidden Tome
explicitMods,The Labyrinth's rewards have been enriched.,2,2,object:2,,The Labyrinth's rewards have been enriched.
explicitMods,The Merchant has # additional Choices,2,2,object:2,,The Merchant has 2 additional Choices
explicitMods,"The Moment of Loneliness is level #\nThe Incarnation of Neglect's full power is unleashed in The Moment of Loneliness",2,2,object:2,,"The Moment of Loneliness is level 85\nThe Incarnation of Neglect's full power is unleashed in The M"
explicitMods,"The Moment of Reverence is level #\nThe Incarnation of Dread's full power is unleashed in The Moment of Reverence",2,2,object:1;string:1,,"The Moment of Reverence is level 85\nThe Incarnation of Dread's full power is unleashed in The Mome"
explicitMods,"The Shaper's Realm is level #\nThe Shaper's and The Elder's full power are unleashed in The Shaper's Realm",2,2,object:1;string:1,,"The Shaper's Realm is level 85\nThe Shaper's and The Elder's full power are unleashed in The Shaper"
explicitMods,"The Shaper's Realm is level #\nThe Shaper's full power is unleashed in The Shaper's Realm",2,2,object:1;string:1,,"The Shaper's Realm is level 85\nThe Shaper's full power is unleashed in The Shaper's Realm"
explicitMods,This Map's Modifiers to Quantity of Items found also apply to Rarity,2,2,object:2,,This Map's Modifiers to Quantity of Items found also apply to Rarity
explicitMods,This Skill's Arrows deal #% more Damage with Ailments per Stage,2,2,object:2,,This Skill's Arrows deal 50% more Damage with Ailments per Stage
explicitMods,This Skill's Arrows deal #% more Damage with Hits per Stage,2,2,object:2,,This Skill's Arrows deal 70% more Damage with Hits per Stage
explicitMods,Throw up to # additional Trap if dual wielding,2,2,object:2,,Throw up to 1 additional Trap if dual wielding
explicitMods,Trigger Level # Icicle Burst when you Hit a Frozen Enemy,2,2,object:2,,Trigger Level 20 Icicle Burst when you Hit a Frozen Enemy
explicitMods,Trigger Level # Lightning Bolt when you deal a Critical Strike,2,2,object:2,,Trigger Level 30 Lightning Bolt when you deal a Critical Strike
explicitMods,Trigger Level # Rain of Arrows when you Attack with a Bow,2,2,object:2,,Trigger Level 5 Rain of Arrows when you Attack with a Bow
explicitMods,Trigger Level # Shock Ground when Hit,2,2,object:2,,Trigger Level 10 Shock Ground when Hit
explicitMods,Trigger Level # Summon Spectral Wolf on Kill,2,2,object:2,,Trigger Level 10 Summon Spectral Wolf on Kill
explicitMods,Trigger Level # Summon Void Spawn every # seconds,2,2,object:2,,Trigger Level 20 Summon Void Spawn every 4 seconds
explicitMods,Trigger Level # Tears of Rot when Equipped,2,2,object:2,,Trigger Level 20 Tears of Rot when Equipped
explicitMods,Triggers Level # Fire Aegis when Equipped,2,2,object:2,,Triggers Level 20 Fire Aegis when Equipped
explicitMods,Two Handed Weapon: (#-#)% increased Spell Critical Strike Chance,2,2,object:2,,Two Handed Weapon: (165-179)% increased Spell Critical Strike Chance
explicitMods,Unaffected by Chilled Ground,2,2,object:2,,Unaffected by Chilled Ground
explicitMods,Unaffected by Desecrated Ground,2,2,object:2,,Unaffected by Desecrated Ground
explicitMods,Unaffected by Elemental Weakness while affected by Purity of Elements,2,2,object:2,,Unaffected by Elemental Weakness while affected by Purity of Elements
explicitMods,Unique Boss drops # additional Rare Thrusting One Hand Swords,2,2,object:2,,Unique Boss drops 11 additional Rare Thrusting One Hand Swords
explicitMods,Unique Monsters have a random Shrine Buff,2,2,object:2,,Unique Monsters have a random Shrine Buff
explicitMods,Unpredictably adds or removes a socket on a corrupted item,2,2,object:2,,Unpredictably adds or removes a socket on a corrupted item
explicitMods,"Unpredictably raise the strength of one Searing Exarch or Eater of Worlds modifier on an item and lower the strength of another\nLesser modifiers that have their strength lowered will be removed",2,2,object:2,,Unpredictably raise the strength of one Searing Exarch or Eater of Worlds modifier on an item and lo
explicitMods,Unpredictably reforges the colour of sockets on a corrupted item,2,2,object:2,,Unpredictably reforges the colour of sockets on a corrupted item
explicitMods,Upgrades Uul-Netol's Breachstone to a more powerful version,2,2,object:2,,Upgrades Uul-Netol's Breachstone to a more powerful version
explicitMods,Vaal Skills used during effect have #% reduced Soul Gain Prevention Duration,2,2,object:2,,Vaal Skills used during effect have 10% reduced Soul Gain Prevention Duration
explicitMods,"Weapon: Your Hits inflict Decay, dealing # Chaos Damage per second for # seconds",2,2,object:2,,"Weapon: Your Hits inflict Decay, dealing 700 Chaos Damage per second for 8 seconds"
explicitMods,"When Hit during effect, #% of Life loss from Damage taken occurs over # seconds instead",2,2,object:2,,"When Hit during effect, 25% of Life loss from Damage taken occurs over 4 seconds instead"
explicitMods,"While Minions have Energy Shield, their Hits Ignore Monster Elemental Resistances",2,2,object:2,,"While Minions have Energy Shield, their Hits Ignore Monster Elemental Resistances"
explicitMods,"With # total Dexterity and Strength in Radius, Prismatic Skills cannot choose Lightning",2,2,object:2,,"With 40 total Dexterity and Strength in Radius, Prismatic Skills cannot choose Lightning"
explicitMods,"With # total Dexterity and Strength in Radius, Prismatic Skills deal #% less Lightning Damage",2,2,object:2,,"With 40 total Dexterity and Strength in Radius, Prismatic Skills deal 50% less Lightning Damage"
